longitude,latitude,M13_log
58.824425,-34.238926,-0.6502611884010344
58.84126,-34.241653,-0.6502611884010344
58.849613,-34.243088,-0.6471668206428753
58.85802,-34.24445,-0.6502611884010344
58.86643,-34.245815,-0.6440819984665913
58.925285,-34.25532,-0.6502611884010344
58.933685,-34.256676,-0.6440819984665913
58.942093,-34.258034,-0.6440819984665913
58.9505,-34.259388,-0.6471668206428753
58.95891,-34.260742,-0.6440819984665913
58.967304,-34.262093,-0.6502611884010344
58.975704,-34.263443,-0.6533651609996125
58.984108,-34.264793,-0.6502611884010344
58.992516,-34.266144,-0.6471668206428753
59.000916,-34.267498,-0.6502611884010344
59.009304,-34.26884,-0.6502611884010344
59.017696,-34.27019,-0.6471668206428753
59.026104,-34.271538,-0.6471668206428753
59.034492,-34.27288,-0.6471668206428753
59.04289,-34.274227,-0.6471668206428753
59.05129,-34.275574,-0.6471668206428753
59.05969,-34.276917,-0.6471668206428753
59.068085,-34.27826,-0.6471668206428753
59.076466,-34.279602,-0.6471668206428753
59.084858,-34.28094,-0.6502611884010344
59.093254,-34.282284,-0.6471668206428753
59.101654,-34.283627,-0.6502611884010344
59.11005,-34.284966,-0.6471668206428753
59.118435,-34.286304,-0.6533651609996125
59.126823,-34.28764,-0.6533651609996125
59.135223,-34.28898,-0.6502611884010344
59.14362,-34.290318,-0.6502611884010344
59.152008,-34.291653,-0.6533651609996125
59.160393,-34.292984,-0.6533651609996125
59.16878,-34.29432,-0.6502611884010344
59.177177,-34.295654,-0.6502611884010344
59.185562,-34.296986,-0.6533651609996125
55.28417,-33.613132,-0.6502611884010344
55.336205,-33.62328,-0.6533651609996125
55.387978,-33.63335,-0.6502611884010344
56.193794,-33.786858,-0.6533651609996125
56.299,-33.80645,-0.6533651609996125
56.31803,-33.809982,-0.6533651609996125
56.356018,-33.817028,-0.6533651609996125
56.441063,-33.832756,-0.6502611884010344
56.450493,-33.834488,-0.6502611884010344
56.459892,-33.836216,-0.6533651609996125
56.478687,-33.839676,-0.6533651609996125
56.488075,-33.841408,-0.6533651609996125
56.50682,-33.844856,-0.6533651609996125
56.51619,-33.84658,-0.6533651609996125
56.52555,-33.848305,-0.6502611884010344
56.53491,-33.850014,-0.6502611884010344
56.609505,-33.86369,-0.6502611884010344
56.821796,-33.902306,-0.6502611884010344
56.840096,-33.905617,-0.6410066631603596
56.849255,-33.907253,-0.6379407565523733
56.858395,-33.908913,-0.6379407565523733
56.86753,-33.91057,-0.6410066631603596
56.876663,-33.912212,-0.6379407565523733
56.885788,-33.913857,-0.6410066631603596
56.894917,-33.9155,-0.6379407565523733
56.904022,-33.91714,-0.6379407565523733
56.91313,-33.918785,-0.6410066631603596
56.922237,-33.920425,-0.6410066631603596
56.931328,-33.922066,-0.6410066631603596
56.940426,-33.92369,-0.6410066631603596
56.97674,-33.930218,-0.6533651609996125
56.98581,-33.931847,-0.6379407565523733
56.994858,-33.933464,-0.6348842210042397
57.00391,-33.935097,-0.6348842210042397
57.01296,-33.93671,-0.6348842210042397
57.432835,-34.0111,-0.6440819984665913
57.441658,-34.01264,-0.6502611884010344
57.468113,-34.01728,-0.6379407565523733
57.476917,-34.018814,-0.6440819984665913
57.485733,-34.02035,-0.6379407565523733
57.49453,-34.021893,-0.6471668206428753
57.529694,-34.028027,-0.6379407565523733
57.538475,-34.029552,-0.6379407565523733
57.54726,-34.03107,-0.6502611884010344
57.5648,-34.034126,-0.6348842210042397
57.573555,-34.035664,-0.6379407565523733
57.582325,-34.03718,-0.6379407565523733
57.591076,-34.038704,-0.6410066631603596
57.599846,-34.04023,-0.6440819984665913
57.617344,-34.043266,-0.6379407565523733
57.626087,-34.044777,-0.6318369994044779
57.634823,-34.0463,-0.6348842210042397
